PRODUCT,AGE,AREA,RESIDENTIAL_PLACE,EDUCATION,MARITAL_STATUS,HOUSEHOLD_MEMBERS,NO_OF_DEPENDENTS,INCOME,WORK_SENIORITY,BUSINESS AGE,ECONOMIC_SECTOR,EMPLOYEE_NO,LENGTH_RELATIONSHIP_WITH_CLIENT,DEBIT_CARD,CURRENT_ACCOUNT,SAVING_ACCOUNT,SALARY_ACCOUNT,FOREIGN_ACCOUNT,FINALIZED_LOAN,DEPOSIT,PENSION_FUNDS,DEFAULT_FLAG
F,32,County capital,Living with family,Post-graduate,married,2,0,3550.4635,1,22,Human health and social work activities,between 51-100,9,1,1,0,0,0,0,0,0,0
B,27,Urban area,Owner without mortgage,Other,married,2,0,1340.75,7,14,Manufacturing,> 1.000,1,0,0,0,0,0,0,0,0,0
B,47,Urban area,Owner without mortgage,Vocational school,married,2,0,850.1,1,24,Manufacturing,between 101-250,1,1,1,0,1,0,0,0,0,1
C,67,County capital,Owner without mortgage,Highschool,single,1,0,1039,5,16,Missing,Missing,1,1,1,0,0,0,0,0,0,0
B,45,Rural area,Owner without mortgage,Highschool,married,2,0,933,8,33,Human health and social work activities,between 501-1.000,1,1,1,0,0,0,0,0,0,0
C,68,Rural area,Owner without mortgage,Vocational school,married,2,0,981,5,16,Missing,Missing,8,0,0,0,0,0,0,0,0,0
F,33,County capital,Owner with mortgage,University,married,3,1,4255.25,9,9,"Professional, scientific and technical activities",> 1.000,10,1,1,0,0,0,0,0,0,0
B,44,County capital,Owner without mortgage,University,married,3,1,2056,4,11,Public administration and defence,between 21-50,13,1,1,0,0,0,1,0,0,0
C,24,Rural area,Owner without mortgage,Post secondary school,single,1,0,1004.596,4,25,Manufacturing,between 251-500,1,0,0,0,0,0,0,0,0,0
E,27,County capital,Owner without mortgage,Vocational school,single,1,0,1356,1,19,Wholesale and retail trade,between 101-250,1,1,1,0,1,0,0,0,0,0
C,54,Urban area,Owner without mortgage,Other,married,2,0,630,13,16,Wholesale and retail trade,between 0-10,10,0,0,0,0,0,1,0,0,0
F,28,Urban area,Living with family,University,single,1,0,1972,2,18,Human health and social work activities,between 0-10,9,0,0,0,0,0,0,0,0,0
C,45,Urban area,Owner without mortgage,Highschool,married,3,1,2054.15,5,5,Manufacturing,> 1.000,1,0,0,0,0,0,0,0,0,0
C,68,Rural area,Owner without mortgage,Highschool,widow,1,0,525,5,16,Missing,Missing,1,1,1,0,0,0,0,0,0,0
C,28,Urban area,Living with family,Highschool,single,1,0,1072.655,4,12,Manufacturing,> 1.000,7,0,0,0,0,0,0,0,0,0
C,40,Rural area,Owner without mortgage,Post secondary school,married,3,1,1263.095,3,10,Other,> 1.000,13,0,0,0,0,0,0,0,0,0
C,65,Urban area,Owner without mortgage,College,single,1,0,979,5,16,Missing,Missing,12,1,1,0,0,0,1,0,0,0
B,54,Rural area,Owner without mortgage,Post secondary school,married,2,0,843,1,8,Other,between 101-250,1,1,1,0,1,0,0,0,0,0
F,33,County capital,Living with family,University,divorced,1,0,809,7,8,Other,between 11-20,1,1,1,0,0,0,0,0,0,0
E,47,County capital,Owner without mortgage,University,single,1,0,2165.755,3,3,Electricity and gas,between 501-1.000,10,1,1,0,0,0,0,0,0,0
C,57,Urban area,Owner without mortgage,University,married,2,0,1412,32,32,Missing,between 251-500,3,0,1,0,0,0,0,0,0,0
C,46,Rural area,Owner without mortgage,Highschool,married,3,1,1279.95,5,9,Manufacturing,between 11-20,1,0,0,0,0,0,0,0,0,0
F,37,County capital,Living with family,Post-graduate,single,1,0,935,2,15,Missing,> 1.000,10,0,0,0,0,0,1,0,0,0
F,31,County capital,Living with family,University,single,1,0,2605.68,6,24,Transportation and storage,> 1.000,11,0,0,0,0,0,0,0,0,0
C,42,Rural area,Owner without mortgage,Highschool,single,1,0,1347.25,9,16,Manufacturing,between 251-500,1,0,0,0,0,0,0,0,0,0
C,64,Urban area,Owner without mortgage,Highschool,married,2,0,741,5,16,Missing,Missing,11,0,0,0,0,0,0,0,0,0
C,35,Rural area,Living with family,Post secondary school,single,1,0,1416,13,16,Manufacturing,> 1.000,1,1,1,0,0,0,0,0,0,0
F,27,County capital,Living with family,University,single,1,0,3129.9175,4,10,Other,> 1.000,9,1,1,0,0,0,0,0,0,0
C,27,County capital,Owner without mortgage,Highschool,married,2,0,1510.46,2,17,Construction,between 501-1.000,2,1,1,0,1,0,0,0,0,0
C,32,Rural area,Living with family,University,married,2,0,1277.75,2,51,Education,between 51-100,1,0,1,0,0,0,0,0,0,0
C,35,Rural area,Owner without mortgage,University,married,2,0,1344,8,24,Transportation and storage,between 501-1.000,1,1,1,0,0,0,0,0,0,0
F,25,Urban area,Living with family,University,single,1,0,1618.41,3,18,Manufacturing,> 1.000,2,0,0,0,0,0,0,0,0,0
C,46,County capital,Owner without mortgage,University,single,1,0,3006,12,21,Missing,between 501-1.000,15,0,0,0,0,0,1,0,0,0
B,36,Rural area,Living with family,Middle school,married,3,1,716,8,19,Manufacturing,between 21-50,2,0,0,0,0,0,0,0,0,0
E,66,Rural area,Owner without mortgage,Highschool,married,2,0,1168,5,16,Missing,Missing,9,1,1,0,0,0,1,0,0,0
F,37,County capital,Rental,University,married,3,1,1141.596,17,35,Education,between 21-50,9,0,0,0,0,0,0,0,0,0
C,46,Rural area,Owner without mortgage,Vocational school,married,2,0,837.68,3,23,Wholesale and retail trade,between 101-250,2,0,0,0,0,0,0,0,0,0
C,41,County capital,Owner without mortgage,Post-graduate,married,4,2,3543.6,7,20,Missing,between 251-500,12,0,0,0,0,0,0,0,0,0
E,41,County capital,Owner without mortgage,University,single,1,0,2706,12,26,Public administration and defence,> 1.000,11,1,1,0,0,0,1,0,0,0
B,51,Urban area,Owner without mortgage,University,married,3,1,3659,28,52,Public administration and defence,> 1.000,11,0,0,0,0,0,1,0,0,0
F,36,County capital,Living with family,University,married,2,0,3000,16,22,Water supply,> 1.000,14,0,0,0,0,0,0,0,0,0
E,51,Rural area,Owner without mortgage,Vocational school,married,2,0,2608.1525,18,18,Mining and quarrying,> 1.000,12,1,1,0,0,0,1,0,0,0
F,46,Rural area,Living with family,Post-graduate,single,1,0,1611,5,42,Public administration and defence,between 21-50,1,1,1,0,0,0,0,0,0,0
C,54,County capital,Owner without mortgage,Post secondary school,single,1,0,1231,9,86,Human health and social work activities,between 501-1.000,6,0,0,0,0,0,0,0,0,1
C,65,County capital,Owner without mortgage,Post secondary school,widow,1,0,766,5,16,Missing,Missing,14,1,1,0,0,0,0,0,0,0
C,36,County capital,Living with family,University,married,3,1,2267.8,3,15,Other,between 501-1.000,1,0,0,0,0,0,0,0,0,0
F,50,Urban area,Owner without mortgage,University,married,2,0,6996.155,14,14,Manufacturing,between 501-1.000,9,0,0,0,0,0,0,0,0,0
F,39,Rural area,Owner without mortgage,University,married,4,2,3426,5,6,Water supply,between 0-10,2,0,0,0,0,0,0,0,0,0
B,39,County capital,Owner without mortgage,University,single,1,0,6996.834,13,21,Missing,between 0-10,1,0,0,0,0,0,0,0,0,0
B,29,Rural area,Owner without mortgage,Missing,married,2,1,1771.25,6,13,Public administration and defence,> 1.000,10,0,0,0,0,0,0,0,0,0
C,63,Rural area,Owner without mortgage,Vocational school,married,2,0,667,5,16,Missing,Missing,1,0,0,0,0,0,0,0,0,0
C,40,Urban area,Living with family,Missing,single,1,0,815,12,24,Manufacturing,between 21-50,1,0,0,0,0,0,0,0,0,0
B,33,Rural area,Owner without mortgage,Missing,married,3,1,1189,4,43,Missing,between 101-250,2,0,0,0,0,0,0,0,0,0
F,27,County capital,Living with family,University,married,2,0,2500,2,11,"Professional, scientific and technical activities",between 501-1.000,8,0,0,0,0,0,0,0,0,0
C,51,Rural area,Owner without mortgage,University,married,2,0,3378.7065,11,22,Public administration and defence,between 251-500,1,0,0,0,0,0,0,0,0,0
F,36,County capital,Living with family,Highschool,married,3,1,3112,2,6,Other,between 21-50,12,0,1,0,0,0,1,0,0,0
C,23,Rural area,Living with family,University,single,1,0,1311.5,2,5,Other,> 1.000,1,0,0,0,0,0,0,0,0,0
B,35,Rural area,Owner without mortgage,Post secondary school,single,1,0,809,6,18,Manufacturing,between 501-1.000,1,0,0,0,0,0,0,0,0,0
C,27,County capital,Living with family,Post secondary school,single,1,0,1327.5,3,17,Manufacturing,between 101-250,2,0,0,0,0,0,1,0,0,1
C,36,County capital,Living with family,Post secondary school,married,2,0,1800,4,21,Information and communication,> 1.000,1,0,0,0,0,0,0,0,0,0
C,63,Rural area,Owner without mortgage,Highschool,divorced,1,0,834,5,16,Missing,Missing,4,0,0,0,0,0,0,0,0,0
F,34,County capital,Living with family,University,single,1,0,1899.504,8,10,Wholesale and retail trade,between 0-10,2,0,0,0,0,0,0,0,0,0
B,59,County capital,Owner without mortgage,University,married,2,0,2756.6375,18,24,Manufacturing,between 251-500,11,0,0,0,0,0,0,0,0,0
E,40,Rural area,Owner with mortgage,Post secondary school,married,3,1,1843,15,25,Human health and social work activities,> 1.000,1,1,1,0,0,0,0,0,0,0
C,61,Rural area,Owner without mortgage,University,married,2,0,1108,5,16,Missing,Missing,1,0,0,0,0,0,0,0,0,0
C,36,County capital,Owner without mortgage,University,married,2,0,2700,3,3,Human health and social work activities,between 0-10,2,0,0,0,0,0,0,0,0,0
F,31,County capital,Living with family,University,married,2,0,5061,4,18,Information and communication,between 501-1.000,10,1,1,0,0,0,0,0,0,0
F,35,Rural area,Living with family,University,single,1,0,2500,3,21,Construction,between 101-250,2,0,0,0,0,0,0,0,0,0
E,62,Urban area,Owner without mortgage,Highschool,divorced,1,0,689,5,16,Missing,Missing,1,1,1,0,1,0,0,0,0,0
B,44,Rural area,Owner without mortgage,Post secondary school,married,2,0,1598.5775,16,21,Manufacturing,between 251-500,9,0,0,0,0,0,1,0,0,0
C,63,County capital,Owner without mortgage,University,married,2,0,1874.5,8,20,"Agriculture, hunting and forestry",between 501-1.000,4,0,0,0,0,0,0,0,0,0
C,65,Rural area,Living with family,Post-graduate,single,1,0,1146,5,16,Missing,Missing,9,0,1,0,0,0,0,0,0,0
F,30,Urban area,Living with family,University,married,2,0,2400,3,21,Information and communication,> 1.000,2,0,0,0,0,0,0,0,0,0
C,66,Urban area,Owner without mortgage,Other,widow,1,0,1161,5,16,Missing,Missing,1,0,1,0,0,0,0,0,0,0
E,34,Urban area,Living with family,Highschool,married,2,1,1163,2,20,Manufacturing,between 101-250,2,1,1,0,1,0,0,0,0,1
E,42,Urban area,Owner without mortgage,Highschool,divorced,1,0,3842,15,25,Public administration and defence,between 251-500,1,1,1,0,1,0,0,0,0,0
F,28,County capital,Living with family,University,single,1,0,1798,2,5,Wholesale and retail trade,between 0-10,7,0,0,0,0,0,0,0,0,0
C,68,County capital,Owner without mortgage,College,widow,1,0,1191,5,16,Missing,Missing,12,0,0,0,0,0,0,0,0,0
C,68,Urban area,Owner without mortgage,Highschool,widow,1,0,1510,5,16,Missing,Missing,5,1,1,0,0,0,1,0,0,0
C,42,County capital,Living with family,Post secondary school,divorced,1,0,1045.495,13,14,Manufacturing,between 251-500,12,0,0,0,0,0,1,0,0,0
C,38,Urban area,Living with family,University,married,2,0,3045,9,13,Public administration and defence,between 501-1.000,1,1,1,0,0,0,0,0,0,0
F,40,Rural area,Living with family,Highschool,single,1,0,750.696,8,15,Manufacturing,between 51-100,8,0,0,0,0,0,0,0,0,0
C,42,County capital,Owner with mortgage,University,married,3,1,2552,4,6,Financial and insurance activities,between 501-1.000,2,0,0,0,0,0,0,0,0,0
B,62,Urban area,Living with family,Highschool,widow,1,0,811,5,16,Missing,Missing,2,0,0,0,0,0,0,0,0,0
B,66,County capital,Owner without mortgage,Post secondary school,single,1,0,1487,5,16,Missing,Missing,12,0,1,0,0,0,1,0,0,0
C,39,Urban area,Owner without mortgage,University,married,3,1,2390,10,21,Public administration and defence,between 501-1.000,1,1,1,0,0,0,0,0,0,0
C,33,County capital,Owner with mortgage,Post-graduate,married,3,1,1376,8,42,Human health and social work activities,> 1.000,1,0,0,0,0,0,0,0,0,0
C,22,Rural area,Owner without mortgage,College,single,1,0,943,2,16,Wholesale and retail trade,> 1.000,2,0,0,0,0,0,0,0,0,0
F,29,County capital,Living with family,University,single,1,0,2847.2,3,6,Information and communication,between 0-10,2,0,0,0,0,0,0,0,0,0
C,38,Urban area,Owner without mortgage,University,single,1,0,1315,4,4,Education,> 1.000,1,0,0,0,0,0,0,0,0,0
B,31,County capital,Living with family,Post secondary school,married,2,0,1223,10,46,Missing,> 1.000,8,0,0,0,0,0,1,0,0,0
E,39,Rural area,Owner without mortgage,Highschool,married,2,0,1191,6,6,Water supply,between 51-100,1,1,1,0,1,0,0,0,0,0
C,68,County capital,Owner without mortgage,Post secondary school,widow,1,0,1170,5,16,Missing,Missing,13,1,1,0,0,0,0,0,0,0
B,48,County capital,Owner without mortgage,University,married,2,0,1624,7,62,Education,between 101-250,2,0,0,0,0,0,0,0,0,0
F,27,County capital,Living with family,Highschool,single,1,0,2332,4,36,Transportation and storage,> 1.000,9,0,0,0,0,0,0,0,0,0
C,37,Rural area,Living with family,Missing,married,2,0,2590,14,66,Human health and social work activities,> 1.000,12,1,1,0,0,0,1,0,0,0
E,66,Rural area,Owner without mortgage,University,married,2,0,935,5,16,Missing,Missing,1,1,1,0,1,0,0,0,0,0
B,43,Rural area,Owner without mortgage,Vocational school,married,2,0,1215,17,17,Transportation and storage,between 101-250,1,1,1,0,0,0,0,0,0,0
F,30,County capital,Living with family,Highschool,married,3,1,1229,2,19,Wholesale and retail trade,between 101-250,11,0,0,0,0,0,0,0,0,0
B,61,County capital,Living with family,University,single,1,0,519,5,16,Missing,Missing,2,0,0,0,0,0,0,0,0,0
C,42,County capital,Owner without mortgage,Highschool,single,1,0,1129.5,11,12,Manufacturing,between 101-250,1,0,0,0,0,0,0,0,0,0
B,46,County capital,Owner without mortgage,University,single,2,1,1069,2,66,Other,between 21-50,1,1,1,0,1,0,0,0,0,0
F,40,County capital,Owner without mortgage,University,married,3,1,2643,5,18,Information and communication,between 501-1.000,2,0,0,0,0,0,0,0,0,0
C,45,County capital,Living with family,University,married,2,0,4762,11,21,Wholesale and retail trade,between 101-250,10,1,1,0,0,0,1,0,0,0
E,63,County capital,Owner without mortgage,Missing,married,2,0,746,5,16,Missing,Missing,1,0,1,0,0,0,0,0,0,0
E,62,County capital,Owner without mortgage,Highschool,widow,1,0,607,5,16,Missing,Missing,12,1,1,0,0,0,0,0,0,0
B,53,Rural area,Owner without mortgage,Vocational school,married,3,1,1231,12,12,Transportation and storage,between 101-250,9,1,1,0,0,0,1,0,0,0
C,36,Rural area,Owner without mortgage,University,married,2,0,1337.745,6,61,Education,between 51-100,1,0,1,0,0,0,0,0,0,0
C,55,County capital,Owner without mortgage,University,married,2,0,1963,5,16,Missing,Missing,1,0,0,0,0,0,0,0,0,0
B,21,Urban area,Owner without mortgage,Other,single,1,0,1214.1725,2,2,Manufacturing,between 501-1.000,2,1,1,0,0,0,0,0,0,1
B,61,County capital,Owner without mortgage,University,single,1,0,597,5,16,Missing,Missing,1,1,1,0,1,0,0,0,0,0
C,48,County capital,Owner without mortgage,Post-graduate,married,2,0,3690.195,4,10,Information and communication,between 21-50,10,1,1,0,0,0,0,0,0,0
B,25,County capital,Other,Post secondary school,married,2,0,1299.95,4,14,Public administration and defence,between 251-500,6,0,0,0,0,0,0,0,0,0
C,43,Rural area,Owner without mortgage,Highschool,married,2,0,1201.4975,5,16,Human health and social work activities,> 1.000,9,1,1,0,0,0,0,0,0,0
F,30,County capital,Owner without mortgage,Other,single,1,0,1261,4,21,Manufacturing,> 1.000,4,0,0,0,0,0,0,0,0,0
C,67,Urban area,Owner without mortgage,Highschool,married,2,0,1137,5,16,Missing,Missing,1,1,1,0,0,0,0,0,0,0
C,26,Rural area,Living with family,Other,single,1,0,899.15,2,14,Manufacturing,> 1.000,1,0,0,0,0,0,0,0,0,1
C,54,Rural area,Owner without mortgage,Post secondary school,married,2,0,3411,4,6,Other,between 21-50,1,0,0,0,0,0,0,0,0,0
C,47,County capital,Owner without mortgage,Other,single,1,0,1236.5,6,23,Transportation and storage,between 21-50,11,0,0,0,0,0,0,0,0,0
C,38,County capital,Living with family,Highschool,single,1,0,1199.25,10,10,Wholesale and retail trade,between 251-500,13,0,0,0,0,0,0,0,0,0
E,56,County capital,Owner without mortgage,Vocational school,married,2,0,1099,38,38,Manufacturing,between 51-100,2,1,1,0,0,0,0,0,0,0
F,27,County capital,Living with family,Highschool,single,1,0,820.33,2,13,Wholesale and retail trade,between 101-250,9,0,0,0,0,0,0,0,0,0
B,36,County capital,Other,University,single,1,0,3402,11,16,Wholesale and retail trade,between 51-100,1,1,1,0,1,0,0,0,0,0
F,28,County capital,Living with family,University,single,1,0,2882.4,5,16,Missing,Missing,1,1,1,0,0,0,0,0,0,0
C,60,County capital,Owner without mortgage,Vocational school,married,2,0,950,5,16,Missing,Missing,1,1,1,0,1,0,0,0,0,0
F,37,County capital,Living with family,Highschool,married,3,1,2396.4225,19,25,Transportation and storage,> 1.000,14,0,0,0,0,0,0,0,0,0
C,51,County capital,Owner without mortgage,University,single,1,0,2455,3,3,Other,between 21-50,8,0,0,0,0,0,0,0,0,0
B,66,Urban area,Owner without mortgage,Highschool,single,1,0,1091,5,16,Missing,Missing,4,0,0,0,0,0,0,0,0,0
C,53,Urban area,Owner without mortgage,Highschool,married,2,0,1238,2,10,Manufacturing,between 21-50,2,0,0,0,0,0,0,0,0,0
B,66,Rural area,Owner without mortgage,Highschool,married,2,0,1175,5,16,Missing,Missing,10,0,1,0,0,0,1,0,0,0
E,62,County capital,Owner without mortgage,Post secondary school,widow,1,0,977,5,16,Missing,Missing,15,1,1,0,0,0,0,0,0,0
F,41,County capital,Living with family,College,married,2,0,1763,7,19,Wholesale and retail trade,between 0-10,7,0,0,0,0,0,1,0,0,0
F,38,Rural area,Living with family,Highschool,married,2,0,1354,3,6,Construction,between 0-10,13,0,0,0,0,0,0,0,0,0
F,22,Rural area,Living with family,University,single,1,0,1169,3,10,Manufacturing,between 101-250,2,0,0,0,0,0,0,0,0,0
F,32,Rural area,Living with family,Vocational school,married,2,0,1356.65,6,106,Public administration and defence,between 101-250,2,0,0,0,0,0,0,0,0,0
B,22,Rural area,Owner without mortgage,University,single,1,0,1379.6575,2,17,Manufacturing,> 1.000,3,1,1,0,0,0,0,0,0,0
C,61,Rural area,Owner without mortgage,Highschool,single,1,0,1066,5,16,Missing,Missing,2,0,0,0,0,0,0,0,0,0
C,34,County capital,Owner without mortgage,Highschool,divorced,1,0,1278.33,10,17,Manufacturing,between 501-1.000,11,0,0,0,0,0,0,0,0,0
C,55,Urban area,Owner without mortgage,Post secondary school,married,2,0,705.708,4,24,Construction,between 51-100,10,0,0,0,0,0,1,0,0,0
C,23,Rural area,Owner without mortgage,Post secondary school,single,1,0,1147.77,1,12,Manufacturing,between 501-1.000,2,0,0,0,0,0,0,0,0,0
B,37,Rural area,Living with family,Post secondary school,married,2,0,751.45,11,17,Human health and social work activities,> 1.000,1,0,1,0,0,0,0,0,0,0
C,55,Rural area,Owner with mortgage,University,married,2,0,1972,36,54,Education,between 21-50,1,0,1,0,0,0,0,0,0,0
F,28,County capital,Living with family,Missing,married,2,0,1017,2,41,Education,between 51-100,1,1,1,0,0,0,0,0,0,0
E,60,Rural area,Owner without mortgage,Other,married,2,0,829,5,16,Missing,Missing,1,1,1,0,0,0,0,0,0,0
B,62,Urban area,Living with family,Vocational school,married,2,0,607,5,16,Missing,Missing,1,0,1,0,0,0,0,0,0,0
C,45,Urban area,Living with family,Highschool,married,2,0,776.26,3,43,Manufacturing,between 51-100,1,0,0,0,0,0,0,0,0,0
E,65,County capital,Owner without mortgage,Highschool,married,2,0,1053,5,16,Missing,Missing,14,1,1,0,0,0,0,0,0,0
F,27,Rural area,Living with family,Post-graduate,married,2,0,2110.07,4,24,Manufacturing,> 1.000,1,1,1,0,0,0,0,0,0,0
F,32,County capital,Living with family,University,single,1,0,2012,5,11,Manufacturing,between 251-500,10,0,0,0,0,0,0,0,0,0
C,57,County capital,Owner without mortgage,Vocational school,divorced,1,0,1414,5,16,Missing,Missing,7,0,1,0,0,0,1,0,0,0
C,63,County capital,Owner without mortgage,Highschool,married,2,0,1021,5,16,Missing,Missing,1,1,1,0,0,0,0,0,0,0
E,25,County capital,Living with family,University,single,1,0,750,2,19,Human health and social work activities,between 251-500,1,1,1,0,0,0,0,0,0,0
B,59,County capital,Owner without mortgage,Highschool,divorced,1,0,1551,4,4,Manufacturing,between 251-500,9,1,1,0,0,0,0,0,0,0
C,67,Rural area,Owner without mortgage,Vocational school,divorced,1,0,661,5,16,Missing,Missing,1,0,0,0,0,0,0,0,0,1
C,38,Rural area,Owner without mortgage,Highschool,married,4,2,1558.2475,4,17,Transportation and storage,between 101-250,1,0,0,0,0,0,0,0,0,0
C,61,Urban area,Owner without mortgage,Middle school,widow,1,0,781,5,16,Missing,Missing,1,0,1,0,0,0,0,0,0,0
C,62,Urban area,Owner without mortgage,University,widow,1,0,1111,5,16,Missing,Missing,1,0,1,0,0,0,0,0,0,0
C,55,Rural area,Owner without mortgage,College,single,1,0,922,5,16,Missing,Missing,1,0,1,0,0,0,0,0,0,0
C,57,County capital,Owner without mortgage,Highschool,married,2,0,4024.75,5,13,Missing,> 1.000,1,1,1,0,0,0,0,0,0,0
C,53,Urban area,Owner without mortgage,University,married,2,0,2380.7475,21,21,Mining and quarrying,> 1.000,12,0,0,0,0,0,0,0,0,0
E,51,County capital,Owner without mortgage,Vocational school,married,2,0,611,17,17,Missing,between 101-250,10,1,1,0,0,0,0,0,0,0
B,56,Urban area,Owner without mortgage,Highschool,married,2,0,1033,5,16,Missing,Missing,8,0,1,0,0,0,0,0,0,0
C,63,Rural area,Owner without mortgage,Highschool,widow,1,0,677,5,16,Missing,Missing,8,0,1,0,0,0,0,0,0,0
B,50,Urban area,Owner without mortgage,University,married,2,0,1655.67,3,22,Wholesale and retail trade,between 501-1.000,2,0,0,0,0,0,0,0,0,1
B,62,Urban area,Living with family,Vocational school,single,1,0,1424,8,20,Manufacturing,between 21-50,1,1,1,0,0,0,0,0,0,1
B,34,Rural area,Owner without mortgage,Highschool,married,2,0,2965,3,10,Transportation and storage,between 501-1.000,9,0,0,0,0,0,1,0,0,0
B,47,Rural area,Owner without mortgage,College,single,1,0,771.5,2,15,Other,between 501-1.000,2,1,1,0,1,0,0,0,0,0
B,23,County capital,Living with family,University,single,1,0,1163.67,2,12,Other,> 1.000,2,1,1,0,1,0,0,0,0,1
F,36,County capital,Living with family,University,divorced,2,1,1460,2,22,Manufacturing,between 51-100,2,0,0,0,0,0,0,0,0,0
C,32,County capital,Owner without mortgage,Highschool,married,4,2,1837.81,5,24,Manufacturing,> 1.000,1,1,1,0,0,0,0,0,0,0
C,53,County capital,Living with family,University,single,1,0,1624,2,16,Education,> 1.000,1,1,1,0,1,0,0,0,0,0
F,36,County capital,Owner with mortgage,Highschool,married,4,2,2026.874,18,24,Electricity and gas,> 1.000,15,0,0,0,0,0,1,0,0,0
C,62,Urban area,Owner without mortgage,Highschool,married,2,0,665,5,16,Missing,Missing,11,0,0,0,0,0,0,0,0,0
B,66,County capital,Owner without mortgage,Post secondary school,widow,1,0,1970,5,16,Missing,Missing,2,0,0,0,0,0,0,0,0,0
C,54,County capital,Owner without mortgage,Post secondary school,single,1,0,1090.4975,2,18,Manufacturing,> 1.000,2,1,1,0,0,0,0,0,0,0
F,29,Rural area,Living with family,University,married,2,0,2764,2,6,Financial and insurance activities,between 501-1.000,9,0,0,0,0,0,0,0,0,0
C,53,Rural area,Owner without mortgage,University,married,2,0,3933,4,4,Public administration and defence,> 1.000,17,1,1,0,0,0,1,0,0,0
C,26,County capital,Living with family,College,single,1,0,2225,3,15,Wholesale and retail trade,between 251-500,2,1,1,0,1,0,0,0,0,0
C,40,Rural area,Living with family,Other,married,3,1,1099,7,24,Manufacturing,between 51-100,8,0,0,0,0,0,1,0,0,0
C,57,Rural area,Living with family,University,divorced,1,0,1313,5,16,Missing,Missing,14,0,0,0,0,0,0,0,0,1
C,28,County capital,Owner without mortgage,University,married,3,1,771,7,26,Public administration and defence,between 21-50,8,0,1,0,0,0,1,0,0,0
F,29,County capital,Living with family,Post secondary school,married,3,1,1608,11,23,Accommodation and food service activities,between 51-100,1,1,1,0,1,0,0,0,0,0
C,25,County capital,Living with family,University,single,2,1,1696.75,3,23,Wholesale and retail trade,> 1.000,1,0,0,0,0,0,0,0,0,0
C,48,County capital,Living with family,University,divorced,2,1,3367,3,7,Wholesale and retail trade,between 51-100,10,0,0,0,0,0,0,0,0,0
F,39,County capital,Owner without mortgage,Post-graduate,married,2,0,2125,14,36,Human health and social work activities,between 501-1.000,2,0,0,0,0,0,0,0,0,0
C,68,Rural area,Living with family,University,divorced,1,0,828,5,16,Missing,Missing,2,0,0,0,0,0,1,0,0,1
C,49,County capital,Owner without mortgage,Highschool,married,2,0,1477,17,17,Transportation and storage,> 1.000,1,0,0,0,0,0,0,0,0,0
C,39,Rural area,Owner without mortgage,University,married,3,1,1182.4,5,8,Manufacturing,between 501-1.000,1,1,1,0,0,0,0,0,0,0
F,44,Urban area,Living with family,College,married,3,1,1920,9,11,Public administration and defence,between 501-1.000,2,0,0,0,0,0,0,0,0,0
